0, 37, 301, 301
0, 0, 0, 553
693, 696, 3, 693
575, 995, 4, 575
0, 209, 620, 620
640, 1000, 3, 640
938, 996, 0, 938
996, 1000, 3, 996
0, 0, 263, 0
0, 2, 413, 413
0, 164, 674, 674
175, 700, 295, 175
138, 500, 674, 500
62, 639, 433, 639
206, 618, 288, 206
115, 414, 253, 414
0, 0, 228, 0
168, 570, 668, 168
653, 1000, 304, 653
128, 864, 627, 864
0, 77, 419, 419
658, 996, 3, 658
423, 732, 375, 423
76, 492, 507, 492
79, 745, 722, 745
0, 55, 397, 397
60, 768, 166, 768
437, 996, 72, 437
243, 1000, 169, 243
128, 698, 503, 698
337, 996, 216, 337
324, 554, 260, 324
11, 189, 490, 490
516, 975, 242, 516
504, 685, 74, 504
26, 119, 313, 313
0, 306, 743, 306
0, 41, 566, 566
0, 95, 644, 644
421, 749, 364, 421
1, 125, 508, 508
35, 213, 567, 567
997, 999, 0, 997
52, 333, 564, 333
3, 265, 616, 616
17, 241, 638, 638
4, 90, 680, 680
959, 999, 0, 959
2, 198, 617, 617
3, 249, 597, 597
4, 204, 651, 651
998, 999, 0, 998
1, 82, 467, 467
4, 121, 663, 663
981, 982, 0, 981
999, 999, 0, 999
56, 132, 535, 535
2, 140, 607, 607
12, 163, 580, 580
0, 0, 0, 699
0, 4, 249, 0
0, 120, 280, 0
645, 655, 186, 645
728, 994, 5, 728
0, 758, 667, 758
0, 106, 704, 704
24, 354, 541, 354
0, 90, 665, 665
551, 995, 167, 551
0, 190, 782, 782
1, 26, 161, 0
984, 994, 10, 984
0, 141, 582, 582
30, 70, 281, 0
0, 16, 149, 0
0, 0, 0, 855
996, 996, 3, 996
46, 309, 113, 309
30, 86, 228, 0
0, 0, 109, 0
393, 416, 76, 393
0, 64, 678, 678
5, 131, 262, 0
250, 506, 373, 250
0, 187, 503, 503
386, 615, 159, 386
24, 57, 189, 0
0, 654, 729, 654
7, 105, 276, 0
0, 26, 259, 0
98, 848, 496, 848
0, 280, 651, 651
0, 11, 120, 0
0, 173, 561, 561
39, 171, 365, 365
6, 138, 432, 432
0, 6, 528, 528
0, 96, 658, 658
0, 30, 276, 0
