0, 37, 301
0, 0, 0
693, 696, 3
575, 995, 4
0, 209, 620
640, 1000, 3
938, 996, 0
996, 1000, 3
0, 0, 263
0, 2, 413
0, 164, 674
175, 700, 295
138, 500, 674
62, 639, 433
206, 618, 288
115, 414, 253
0, 0, 228
168, 570, 668
653, 1000, 304
128, 864, 627
0, 77, 419
658, 996, 3
423, 732, 375
76, 492, 507
79, 745, 722
0, 55, 397
60, 768, 166
437, 996, 72
243, 1000, 169
128, 698, 503
337, 996, 216
324, 554, 260
11, 189, 490
516, 975, 242
504, 685, 74
26, 119, 313
0, 306, 743
0, 41, 566
0, 95, 644
421, 749, 364
1, 125, 508
35, 213, 567
997, 999, 0
52, 333, 564
3, 265, 616
17, 241, 638
4, 90, 680
959, 999, 0
2, 198, 617
3, 249, 597
4, 204, 651
998, 999, 0
1, 82, 467
4, 121, 663
981, 982, 0
999, 999, 0
56, 132, 535
2, 140, 607
12, 163, 580
0, 0, 0
0, 4, 249
0, 120, 280
645, 655, 186
728, 994, 5
0, 758, 667
0, 106, 704
24, 354, 541
0, 90, 665
551, 995, 167
0, 190, 782
1, 26, 161
984, 994, 10
0, 141, 582
30, 70, 281
0, 16, 149
0, 0, 0
996, 996, 3
46, 309, 113
30, 86, 228
0, 0, 109
393, 416, 76
0, 64, 678
5, 131, 262
250, 506, 373
0, 187, 503
386, 615, 159
24, 57, 189
0, 654, 729
7, 105, 276
0, 26, 259
98, 848, 496
0, 280, 651
0, 11, 120
0, 173, 561
39, 171, 365
6, 138, 432
0, 6, 528
0, 96, 658
0, 30, 276
