135, 156, 135, 573
88, 133, 286, 491
990, 996, 9, -996
901, 996, 98, -996
59, 831, 940, -831
506, 649, 262, -418
0, 117, 638, 244
663, 996, 336, -996
0, 46, 750, 202
130, 194, 656, 18
0, 106, 740, 153
533, 796, 358, -688
723, 739, 183, -646
16, 77, 313, 592
0, 32, 645, 322
385, 677, 347, -409
861, 906, 89, -857
0, 25, 681, 293
60, 130, 614, 193
32, 94, 504, 369
999, 999, 0, -998
761, 889, 183, -834
74, 174, 724, 25
963, 963, 0, -927
904, 919, 38, -862
29, 145, 659, 165
21, 61, 269, 646
0, 0, 244, 755
23, 123, 564, 288
259, 439, 524, -223
0, 0, 204, 795
0, 0, 43, 956
0, 0, 645, 354
0, 0, 0, 1000
45, 111, 516, 327
0, 6, 625, 368
0, 0, 99, 900
0, 13, 272, 713
0, 0, 56, 943
0, 0, 130, 869
0, 0, 298, 701
0, 0, 65, 934
687, 1000, 312, -1000
0, 0, 187, 812
0, 0, 258, 741
0, 255, 760, -15
0, 0, 236, 763
29, 108, 495, 366
0, 33, 332, 633
1, 45, 212, 740
0, 0, 111, 888
0, 0, 260, 739
0, 0, 83, 916
0, 0, 181, 818
0, 0, 688, 311
0, 0, 370, 629
0, 0, 172, 827
0, 0, 371, 628
0, 1, 203, 795
0, 0, 81, 918
0, 1, 403, 594
0, 7, 263, 728
14, 59, 612, 313
0, 0, 266, 733
93, 197, 680, 28
0, 0, 236, 763
348, 947, 651, -947
0, 0, 75, 924
0, 0, 174, 825
0, 0, 129, 870
0, 0, 63, 936
0, 0, 409, 590
0, 19, 312, 667
0, 18, 250, 731
0, 0, 98, 901
0, 0, 349, 650
0, 0, 165, 834
74, 205, 665, 54
16, 38, 370, 574
0, 0, 187, 812
0, 1, 375, 623
0, 0, 322, 677
41, 98, 761, 98
0, 49, 518, 432
0, 0, 152, 847
0, 0, 155, 844
27, 37, 334, 600
0, 11, 182, 805
0, 0, 0, 1000
0, 0, 246, 753
44, 104, 893, -42
0, 5, 322, 672
10, 37, 287, 665
0, 0, 172, 827
0, 35, 366, 598
435, 647, 242, -324
228, 240, 57, 473
142, 300, 423, 133
0, 0, 175, 824
22, 198, 410, 368
0, 50, 520, 428
0, 0, 509, 490
190, 423, 710, -323
121, 303, 831, -257
